"length","type","comblength","height","probability"
9,"Straight",7,12,0.0018131024402878763
9,"Straight",6,12,0.004236739375774731
9,"Single",1,11,0.0394627296442249
14,"SquareBomb",4,2,0.0003474268697459441
12,"Trio",3,13,0.0037643472437126164
12,"SquareBomb",4,13,0.00036950647791044084
12,"FullHouse",5,13,0.003571895953134262
13,"PairSteps",2,12,0.005038138355030211
13,"PairSteps",3,12,0.0012565986106951809
1,"Single",1,2,0.10766580534022395
7,"Single",1,3,0.035858209912985446
7,"Single",1,4,0.03642290613208758
7,"Pair",2,4,0.013167689109063374
7,"Single",1,14,0.05105367180882466
7,"Pair",2,3,0.013655381298287944
7,"PairSteps",2,4,0.002874817115429041
4,"Pair",2,4,0.012509148978641294
4,"Pair",2,3,0.014771441879033868
4,"Single",1,3,0.039323973650941514
4,"Single",1,4,0.03513207798256704
4,"PairSteps",2,4,0.00219575487391044
8,"Pair",2,9,0.012488390369364864
13,"Straight",8,10,0.0033352710788544988
13,"Straight",9,12,0.0020669285559098303
13,"Straight",9,10,0.0018085624864211014
13,"Straight",8,11,0.0034938138942225824
14,"Trio",3,5,0.002587089369358191
14,"FullHouse",5,5,0.002545729027721769
6,"Trio",3,10,0.0038395904436860067
6,"Single",1,1.5,0.01775400367550538
6,"Single",1,6,0.039216329745339985
6,"Pair",2,10,0.019493305329482805
6,"Single",1,10,0.049849041743239696
1,"Single",1,14,0.08893195521102498
8,"PairSteps",2,4,0.0019289847824533828
14,"PairSteps",3,9,0.0010960490533651807
14,"Trio",3,7,0.0024071718832397557
14,"FullHouse",5,7,0.0023906277465851867
6,"Pair",2,9,0.01581779994749278
6,"SquareBomb",4,9,0.0004266211604095563
6,"Trio",3,9,0.003445786295615647
6,"Single",1,9,0.04246521396692045
6,"Single",1,2,0.03977421895510633
6,"Single",1,15,0.01916513520609084
9,"Pair",2,4,0.013764777709940612
9,"PairSteps",2,4,0.003737211152430112
10,"Pair",2,4,0.01406987580011916
11,"FullHouse",5,2,0.004134845677617606
11,"Trio",3,2,0.004473767454471508
5,"Single",1,1.5,0.018643621688015442
5,"Pair",2,6,0.01294086681874013
5,"Single",1,3,0.039173539217406565
8,"Pair",2,7,0.012188326069872116
3,"Pair",2,6,0.009918616480162767
3,"Single",1,6,0.03306205493387589
12,"Pair",2,4,0.013063593604458712
12,"PairSteps",2,6,0.004349399167070814
12,"PairSteps",3,6,0.00108542527886192
12,"PairSteps",2,5,0.004572642664141706
12,"Pair",2,5,0.012647898816809465
2,"Single",1,5,0.033201764569305785
2,"Single",1,0,0.033550034827025774
9,"Pair",2,12,0.01435681115983053
9,"Straight",5,6,0.006493866903480047
14,"Trio",3,8,0.002502300669003526
14,"FullHouse",5,8,0.0024754164469398517
14,"FullHouse",5,3,0.002913836068285924
14,"Trio",3,3,0.0029634684782496304
7,"Trio",3,13,0.004183885623347622
7,"PairSteps",2,13,0.003824533483918992
7,"Pair",2,12,0.017864934931594755
7,"Single",1,0,0.015041453836084089
7,"Single",1,12,0.04530403757796658
7,"SquareBomb",4,13,0.0005390282091429451
7,"FullHouse",5,13,0.003439513334531174
1,"Single",1,5,0.05167958656330749
10,"Pair",2,8,0.013642127133014558
10,"PairSteps",2,8,0.0036358636703890984
6,"PairSteps",2,7,0.0020674717773693885
6,"Pair",2,8,0.014767655552638488
6,"Single",1,7,0.04148070359674455
6,"PairSteps",3,8,0.00013126804935678657
6,"PairSteps",2,8,0.0022971908637437646
6,"Pair",2,6,0.012831451824625886
6,"Single",1,8,0.04157915463376214
4,"Single",1,13,0.07831525716947235
1,"Single",1,12,0.07278208440999138
13,"Pair",2,4,0.012378083510960007
13,"PairSteps",2,5,0.004556637952801217
8,"Trio",3,13,0.0019146960062870616
8,"Pair",2,13,0.01338858326784311
5,"Pair",2,4,0.013511142305667662
5,"Pair",2,3,0.014783295314967538
5,"PairSteps",2,4,0.00188629584137568
11,"PairSteps",2,12,0.0038072212933255006
11,"Straight",5,12,0.008732884450268878
11,"Straight",6,10,0.007252926024673505
11,"Straight",8,13,0.0022029915495503636
11,"Straight",7,14,0.002711374214831217
11,"Straight",8,14,0.0017962854173256813
11,"Straight",6,13,0.005434045822224231
11,"Straight",5,11,0.010043381987437299
11,"Straight",7,13,0.0035925708346513626
11,"Straight",5,10,0.011003660355190022
11,"Straight",6,12,0.006100591983370238
11,"Straight",9,14,0.0010054679379999096
11,"PairSteps",2,11,0.0041574404627412
11,"Pair",2,11,0.013251841474987572
11,"Straight",9,13,0.0011410366487414705
11,"Straight",5,14,0.005411451037100637
11,"Straight",6,11,0.006914004247819603
11,"Straight",7,11,0.004439875276786118
11,"Straight",8,12,0.0023385602602919247
11,"Straight",6,14,0.003875005648696281
11,"Straight",7,12,0.004055763929685029
11,"Straight",5,13,0.0077274165122689685
11,"Pair",2,13,0.015183695603054815
11,"PairSteps",2,10,0.004123548285055809
3,"Single",1,15,0.0423872499152255
3,"Single",1,8,0.037131230925737536
3,"Pair",2,8,0.012122753475754493
11,"Straight",7,10,0.004485064847033305
1,"Single",1,10,0.056632213608957795
2,"Single",1,10,0.04759693522173206
11,"PairSteps",3,6,0.0009263861900673325
11,"PairSteps",2,13,0.0037959239007637037
11,"Pair",2,6,0.012833837950201094
11,"PairSteps",2,6,0.004146143070179403
